date,turbidity,ctd
2017-03-22,3.1530833,CTD10
2017-03-30,4.2483215,CTD10
2017-04-05,1.720681,CTD10
2017-04-12,2.1770263,CTD10
2017-04-25,1.5231085,CTD10
2017-05-04,1.6808693,CTD10
2017-05-19,7.803574,CTD10
2017-05-24,0.0,CTD10
2017-06-02,3.1958914,CTD10
2017-06-06,0.60533756,CTD10
2017-06-13,2.560676,CTD10
2017-06-21,1.0765008,CTD10
2017-06-30,3.941989,CTD10
2017-07-05,7.482345,CTD10
2017-07-12,9.057196,CTD10
2017-07-19,7.816369,CTD10
2017-07-26,2.2477267,CTD10
2017-08-30,7.892261,CTD10
2017-09-06,8.552306,CTD10
2017-09-11,3.96809,CTD10
2017-09-27,5.756646,CTD10
2017-10-04,3.9111207,CTD10
2017-10-11,31.048964,CTD10
2017-10-17,8.284788,CTD10
2017-10-25,12.854075,CTD10
2017-11-03,1.1876736,CTD10
2017-11-08,0.35019732,CTD10
2017-11-15,16.254755,CTD10
2017-11-22,3.5250106,CTD10
2017-11-28,1.1864904,CTD10
2017-12-05,2.4303465,CTD10
2017-12-13,12.185402,CTD10
2017-12-18,5.157869,CTD10
2017-12-26,16.497335,CTD10
2018-01-02,3.1053405,CTD10
2018-01-09,3.7681954,CTD10
2018-01-17,0.3611397,CTD10
2018-01-24,23.368694,CTD10
2018-01-31,0.11192763,CTD10
2018-02-12,0.051428623,CTD10
2018-02-20,5.3928123,CTD10
2018-02-27,0.0,CTD10
2018-03-07,0.0,CTD10
2018-03-13,3.8754566,CTD10
2018-03-26,2.2884138,CTD10
2018-04-05,3.0378766,CTD10
2018-04-17,0.0,CTD10
2018-04-27,2.7097585,CTD10
2018-05-02,31.099886,CTD10
2018-05-11,4.0742183,CTD10
2018-05-16,5.1424127,CTD10
2018-05-22,12.808844,CTD10
2018-05-30,1.957708,CTD10
2018-06-08,7.2381587,CTD10
2018-06-12,0.6607585,CTD10
2018-06-20,2.7687762,CTD10
2018-06-26,0.8286526,CTD10
2018-07-04,0.059923615,CTD10
2018-07-10,0.0,CTD10
2018-07-19,0.8089952,CTD10
2018-07-24,1.5444653,CTD10
2018-08-03,0.642657,CTD10
2018-08-09,5.0043526,CTD10
2018-08-14,1.2610371,CTD10
2018-08-23,1.3322471,CTD10
2018-08-29,0.95113194,CTD10
2018-09-04,1.5928949,CTD10
2018-09-13,0.0,CTD10
2018-09-20,12.635413,CTD10
2018-10-03,1.275227,CTD10
2018-10-10,1.2730999,CTD10
2018-10-17,4.980088,CTD10
2018-10-31,3.1661458,CTD10
2018-11-07,15.053132,CTD10
2018-11-21,11.604301,CTD10
2018-11-28,1.4870319,CTD10
2018-12-04,2.1284828,CTD10
2018-12-11,1.6083716,CTD10
2018-12-19,14.823026,CTD10
2018-12-26,0.0,CTD10
2019-01-03,6.9829955,CTD10
2019-01-09,0.0,CTD10
2019-01-17,0.30812663,CTD10
2019-01-25,0.62687653,CTD10
2019-02-06,0.7552484,CTD10
2019-02-12,19.173737,CTD10
2019-02-20,0.09413579,CTD10
2019-02-26,0.029127538,CTD10
2019-03-05,0.010167183,CTD10
2019-03-12,0.22134458,CTD10
2019-03-28,0.0,CTD10
2019-04-15,11.449762,CTD10
2019-04-24,16.585398,CTD10
2019-04-30,1.1641185,CTD10
2019-05-08,2.1731167,CTD10
2019-05-15,0.0,CTD10
2019-05-21,0.09017204,CTD10
2019-05-29,5.551645,CTD10
2019-06-04,0.21912372,CTD10
2019-06-18,0.14069207,CTD10
2019-06-25,1.7866619,CTD10
2019-07-04,1.6526581,CTD10
2019-07-10,0.7838297,CTD10
2019-07-19,6.96169,CTD10
2019-07-26,2.1405005,CTD10
2019-07-30,10.1997795,CTD10
2019-08-06,0.6650824,CTD10
2019-08-14,4.4309764,CTD10
2019-08-22,7.011599,CTD10
2019-08-29,98.74625,CTD10
2019-09-04,3.1482615,CTD10
2019-09-10,24.344418,CTD10
2019-09-17,0.8274967,CTD10
2019-09-18,8.678816,CTD10
2019-09-19,11.191802,CTD10
2019-09-26,126.58959,CTD10
2019-09-27,3.1486773,CTD10
2019-09-28,62.160748,CTD10
2019-10-03,3.8153813,CTD10
2019-10-14,6.7970133,CTD10
2019-10-15,4.3007708,CTD10
2019-10-16,0.0,CTD10
2019-10-25,58.72959,CTD10
2019-10-30,1.0841117,CTD10
2019-11-04,0.3000558,CTD10
2019-11-07,0.18459888,CTD10
2019-11-14,14.87556,CTD10
2019-11-20,10.620067,CTD10
2019-11-21,13.557361,CTD10
2019-11-26,3.0714326,CTD10
