dataset,patch_px,diameter_m,model,n_train,n_test,n_features,n_iters,train_mae,train_rmse,train_r2,train_pearson_r,train_bias,test_mae,test_rmse,test_r2,test_pearson_r,test_bias,oof_mae,oof_rmse,oof_r2,oof_pearson_r,oof_bias,cv_mae,cv_mae_std,cv_rmse,cv_r2,best_iter_mean,best_iter_std,best_params
trimmed,64,192,CatBoost,307,48,32,85,0.1445,0.4031,0.8029,0.9256,-0.0792,0.6521,0.7862,-0.0987,0.2716,0.0904,0.6072,0.9232,-0.0339,0.1299,-0.1733,0.6078,0.1993,0.8352,-0.172,84.2,163.4,"{""depth"": 9, ""learning_rate"": 0.1306395369128648, ""l2_leaf_reg"": 6.198420059645231, ""min_data_in_leaf"": 1, ""bagging_temperature"": 0.4167849310881857}"
trimmed,128,384,GBR,281,41,32,801,0.3896,0.7756,0.3124,0.6126,-0.1371,0.628,0.8104,-0.3817,-0.1423,0.106,0.7043,1.0136,-0.1743,0.0088,-0.1302,0.7052,0.1493,0.9527,-0.4781,800.0,0.0,"{""learning_rate"": 0.014574617642148699, ""max_leaf_nodes"": 50, ""min_samples_leaf"": 35, ""l2_regularization"": 1.5944482517647045, ""max_features"": 0.5542678338648745, ""loss"": ""absolute_error""}"
trimmed,128,384,CatBoost,281,41,32,10,0.4203,0.802,0.2649,0.5827,-0.195,0.5493,0.7654,-0.2325,0.0523,-0.072,0.6064,0.9465,-0.0238,0.1544,-0.1918,0.6076,0.1625,0.869,-0.1865,2.0,1.4,"{""depth"": 7, ""learning_rate"": 0.2540249802520631, ""l2_leaf_reg"": 11.932923384716823, ""min_data_in_leaf"": 5, ""bagging_temperature"": 1.4306700716585807}"
trimmed,256,768,GBR,188,44,32,801,0.4296,0.7988,0.2636,0.598,-0.1425,0.505,0.7038,0.047,0.2403,0.0334,0.692,1.0067,-0.1695,-0.0776,-0.1452,0.6875,0.1692,0.9491,-0.4428,800.0,0.0,"{""learning_rate"": 0.01044114255501696, ""max_leaf_nodes"": 117, ""min_samples_leaf"": 37, ""l2_regularization"": 4.383434931839233e-05, ""max_features"": 0.9355761815219086, ""loss"": ""absolute_error""}"
trimmed,256,768,CatBoost,188,44,32,41,0.1786,0.3678,0.8439,0.9573,-0.075,0.5098,0.6814,0.1066,0.3671,0.0705,0.597,0.9431,-0.0265,0.1508,-0.1826,0.5935,0.1234,0.8826,-0.1959,40.0,77.5,"{""depth"": 9, ""learning_rate"": 0.1332619748433837, ""l2_leaf_reg"": 9.18529826405854, ""min_data_in_leaf"": 9, ""bagging_temperature"": 0.8864207116647282}"
yeojohnson,16,48,GBR,309,50,32,801,0.3342,0.4321,0.7958,0.9165,0.0,0.9125,1.2585,-0.2941,-0.0297,0.0922,0.8112,0.9869,-0.0657,0.201,-0.0138,0.8124,0.0917,0.9813,-0.1111,800.0,0.0,"{""learning_rate"": 0.014882699148966429, ""max_leaf_nodes"": 117, ""min_samples_leaf"": 31, ""l2_regularization"": 0.1508797136534702, ""max_features"": 0.5365269709212368, ""loss"": ""squared_error""}"
yeojohnson,16,48,CatBoost,309,50,32,27,0.4831,0.6648,0.5165,0.7856,-0.0517,0.8883,1.2512,-0.2792,-0.2285,0.1196,0.7577,0.944,0.0251,0.1952,-0.0683,0.7593,0.1155,0.9342,0.0119,26.0,25.3,"{""depth"": 8, ""learning_rate"": 0.0828255379328436, ""l2_leaf_reg"": 14.860221681859336, ""min_data_in_leaf"": 14, ""bagging_temperature"": 0.18733002456106096}"
yeojohnson,32,96,GBR,309,50,32,801,0.1355,0.3571,0.8605,0.9343,0.0369,0.9796,1.3043,-0.3901,-0.1557,0.117,0.8193,1.0266,-0.1531,0.143,-0.0337,0.8208,0.1124,1.0165,-0.1877,800.0,0.0,"{""learning_rate"": 0.16630422809720502, ""max_leaf_nodes"": 52, ""min_samples_leaf"": 10, ""l2_regularization"": 4.0874138969382506e-05, ""max_features"": 0.5079519007727058, ""loss"": ""absolute_error""}"
yeojohnson,32,96,CatBoost,309,50,32,10,0.4463,0.607,0.5968,0.8501,-0.0506,0.9209,1.2908,-0.3614,-0.2708,0.0821,0.7477,0.9401,0.0331,0.2036,-0.0384,0.7492,0.1116,0.9297,0.0225,8.2,9.7,"{""depth"": 10, ""learning_rate"": 0.16208344025204338, ""l2_leaf_reg"": 13.951076575007203, ""min_data_in_leaf"": 12, ""bagging_temperature"": 0.59867168524802}"
yeojohnson,64,192,GBR,309,50,32,801,0.2931,0.5347,0.6872,0.8515,0.0102,0.937,1.2854,-0.3501,-0.152,0.1185,0.8227,1.0242,-0.1476,0.0812,-0.0,0.8242,0.102,1.0157,-0.1888,800.0,0.0,"{""learning_rate"": 0.01600382567491162, ""max_leaf_nodes"": 115, ""min_samples_leaf"": 15, ""l2_regularization"": 0.00041212827607250356, ""max_features"": 0.6810128589429404, ""loss"": ""absolute_error""}"
yeojohnson,64,192,CatBoost,309,50,32,38,0.2594,0.4264,0.8011,0.9185,-0.0479,0.8944,1.2092,-0.1947,-0.0689,0.058,0.7566,0.9428,0.0276,0.1917,-0.0513,0.7581,0.112,0.9333,0.0117,36.6,55.1,"{""depth"": 10, ""learning_rate"": 0.11173462555139851, ""l2_leaf_reg"": 1.010316600705102, ""min_data_in_leaf"": 1, ""bagging_temperature"": 0.2674102993373787}"
yeojohnson,128,384,GBR,280,45,32,801,0.2751,0.5251,0.7044,0.8566,0.0177,0.8441,1.1489,-0.1716,0.0696,0.0617,0.8192,1.0161,-0.107,0.1144,-0.03,0.821,0.093,1.0055,-0.1139,800.0,0.0,"{""learning_rate"": 0.010120817441032815, ""max_leaf_nodes"": 102, ""min_samples_leaf"": 12, ""l2_regularization"": 0.07112891535999437, ""max_features"": 0.7056671402192393, ""loss"": ""absolute_error""}"
yeojohnson,128,384,CatBoost,280,45,32,18,0.5658,0.7607,0.3796,0.6443,-0.0251,0.792,1.1125,-0.0986,0.0315,0.128,0.7586,0.9543,0.0235,0.1815,-0.0377,0.7601,0.0803,0.9455,0.0161,17.2,28.4,"{""depth"": 4, ""learning_rate"": 0.2174786652520581, ""l2_leaf_reg"": 10.78500369484435, ""min_data_in_leaf"": 13, ""bagging_temperature"": 0.001779325517799496}"
yeojohnson,256,768,GBR,206,29,32,801,0.4877,0.6674,0.3889,0.6599,0.036,0.8772,1.311,-0.2115,0.1128,0.5323,0.8457,1.0243,-0.4395,-0.2163,-0.0667,0.8478,0.2039,0.9938,-0.8516,800.0,0.0,"{""learning_rate"": 0.010912965938449055, ""max_leaf_nodes"": 15, ""min_samples_leaf"": 40, ""l2_regularization"": 1.2411125599760314e-06, ""max_features"": 0.9883232117315153, ""loss"": ""absolute_error""}"
yeojohnson,256,768,CatBoost,206,29,32,21,0.6107,0.7656,0.1959,0.5835,-0.0636,0.7935,1.2398,-0.0835,0.2391,0.4168,0.7393,0.9034,-0.1196,-0.2217,-0.0141,0.7407,0.1389,0.8871,-0.4843,19.8,36.6,"{""depth"": 4, ""learning_rate"": 0.04727485377127643, ""l2_leaf_reg"": 18.337324830799954, ""min_data_in_leaf"": 15, ""bagging_temperature"": 0.8811737360868924}"
